serial_number,circular_number,title,date,detail_url,canonical_url,source_url,scraped_at
66,DOR.AML.REC.96/14.06.001/2022-23,"Designation of two Individuals and One Organisation under Section 35(1)(a) and 2(1)(m) of the Unlawful Activities (Prevention) Act, 1967 and their Listing in the First and Fourth Schedule of the Act",2023-01-17,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12441&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12441&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
67,DOR.AML.REC.80/14.06.001/2022-23,"Designation of 10 Individuals as 'Terrorists' under Section 35(1)(a) of the Unlawful Activities (Prevention) Act (UAPA), 1967 and their Listing in the Schedule IV of the Act - Reg",2022-10-27,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12406&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12406&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
68,DOR.AML.REC.69/14.06.001/2022-23,United Nations Security Council Resolutions (UNSCR) 1718 Sanctions Committee on Democratic People's Republic of Korea (DPRK) Amends 02 Existing Entries on its Sanctions List,2022-09-19,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12390&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12390&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
69,DOR.AML.REC.57/14.06.001/2022-23,United Nations Security Council Resolutions (UNSCR) 1718 Sanctions Committee on Democratic People's Republic of Korea (DPRK) Amends 44 Existing Entries on its Sanctions List,2022-07-29,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12364&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12364&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
70,DOR.AML.REC.55/14.06.001/2022-23,UNSCR 1718 Sanctions Committee on DPRK Amends One Entry on its Sanctions List,2022-07-13,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12359&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12359&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
71,DoR.RET.REC.52/12.07.160/2022-23,"Inclusion of 'Unity Small Finance Bank Limited' in the Second Schedule of the Reserve Bank of India Act, 1934",2022-07-06,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12349&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12349&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
72,DOR.AML.REC.50/14.06.001/2022-23,"Designation of 7 Individuals as 'Terrorists' under Section 35(1)(a) of the Unlawful Activities (Prevention) Act (UAPA), 1967 and their Listing in the Schedule IV of the Act - Reg",2022-06-23,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12343&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12343&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
73,DOR.AML.REC.38/14.06.001/2022-23,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Amendment in 6 Entries (Individuals)",2022-05-30,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12326&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12326&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
74,DoR.RRA.36/01.01.101/2022-23,Regulations Review Authority (RRA 2.0) - Recommendations for Withdrawal of Circulars,2022-05-13,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12315&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12315&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
75,DoR.RRA.31/01.01.101/2022-23,Regulations Review Authority (RRA 2.0) - Interim Recommendations - Withdrawal of Circulars,2022-05-02,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12307&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12307&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
